"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-04-17","0.00","0.0","0.0","74","47","61"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-04-18","0.00","0.0","0.0","73","47","51"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-04-19","0.00","0.0","0.0","75","47","53"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-04-20","0.00","0.0","0.0","80","58","52"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-04-21","0.00","0.0","0.0","84","53","54"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-04-22","0.00","0.0","0.0","72","42","50"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-04-23","0.00","0.0","0.0","70","42","47"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-04-24","0.00","0.0","0.0","77","45","53"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-04-25","0.00","0.0","0.0","82","50","56"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-04-26","0.00","0.0","0.0","87","52","57"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-04-27","0.00","0.0","0.0","87","47","50"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-04-28","0.00","0.0","0.0","88","49","57"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-04-29","0.00","0.0","0.0","89","56","63"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-04-30","0.00","0.0","0.0","85","52","54"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-01","0.00","0.0","0.0","76","47","55"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-02","0.00","0.0","0.0","81","47","60"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-03","0.00","0.0","0.0","90","56","62"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-04","0.00","0.0","0.0","96","61","64"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-05","0.00","0.0","0.0","96","60","63"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-06","0.03","0.0","0.0","93","62","63"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-07","0.00","0.0","0.0","89","57","62"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-08","0.00","0.0","0.0","86","55","62"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-09","0.00","0.0","0.0","89","59","64"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-10","0.00","0.0","0.0","88","55","68"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-05-11","0.00","0.0","0.0","91","54","65"
