county,year,population
alpine,1990,1113
calaveras,1990,31998
mono,1990,9956
stanislaus,1990,370522
tuolumne,1990,48456
alpine,2000,1208
calaveras,2000,40554
mono,2000,12853
stanislaus,2000,446997
tuolumne,2000,54501
alpine,2010,"1,175"
calaveras,2010,"45,578"
mono,2010,"14,202"
stanislaus,2010,"514,453"
tuolumne,2010,"55,365"
